92399,92999,92999,92999,92999,92999,92999,92999,92999,12949,
99399,99999,99999,99999,99999,99999,99999,99999,99949,99999,
19399,99999,99999,99999,99999,99999,99999,99999,99999,19945,
99999,99999,99999,99999,99399,99999,99999,99999,99949,99999,
99395,99999,99999,99999,99999,99999,99999,99999,99949,99999,
99399,99999,99999,99999,99999,99999,99999,99999,99949,99999,
99399,99999,99999,99999,99999,99999,99999,99999,99949,99999,
99399,99999,99999,99999,99999,19999,99999,99999,99949,99999,
99399,99999,99999,99999,19949,99999,99399,19999,99949,99999,
19399,19999,19999,19949,99999,99999,19349,99999,19349,99999,
